txNum,latency,startTime,readCount,writeCount,queryType,concurrentlyExecutingTxNum
416,12,769723,3,4,4,8,
417,56,769723,3,4,4,7,
418,54,769723,33,33,3,7,
419,23,769723,27,27,3,8,
420,51,769723,3,4,4,5,
421,47,769723,3,4,4,7,
422,50,769723,3,4,4,6,
423,38,769723,15,15,3,8,
424,31,769723,13,13,3,6,
425,1,769723,3,4,4,6,
426,1,769723,3,4,4,5,
427,4,769723,3,4,4,5,
428,1,769723,3,4,4,4,
429,2,769723,3,4,4,4,
430,2,769723,3,4,4,4,
431,2,769723,3,4,4,3,
432,262,769723,23,24,3,4,
433,7,769723,3,4,4,4,
434,261,769723,27,27,3,4,
435,2,769723,3,4,4,4,
436,279,769723,31,31,3,6,
437,344,769723,17,17,3,6,
438,236,769723,21,21,3,6,
439,244,769723,23,23,3,4,
440,229,769723,15,15,3,7,
441,238,769723,23,23,3,7,
442,239,769723,3,4,4,7,
443,244,769723,3,4,4,5,
444,82,769724,29,29,3,4,
445,6,769724,3,4,4,5,
446,34,769724,3,4,4,6,
447,79,769724,3,4,4,6,
448,78,769724,3,4,4,5,
449,3,769724,3,4,4,7,
450,6,769724,3,4,4,7,
451,27,769724,3,4,4,9,
452,74,769724,21,21,3,5,
453,9,769724,3,4,4,8,
454,25,769724,3,4,4,8,
455,22,769724,3,4,4,9,
456,61,769724,21,21,3,5,
457,49,769724,21,21,3,7,
458,4,769724,3,4,4,8,
459,44,769724,19,19,3,6,
460,44,769724,17,17,3,5,
461,40,769724,19,19,3,4,
462,1,769724,3,4,4,0,
463,6,769724,3,4,4,3,
464,18,769724,13,13,3,3,
465,18,769724,17,17,3,3,
466,3,769724,3,4,4,5,
467,28,769724,25,25,3,6,
468,27,769724,15,15,3,6,
469,3,769724,3,4,4,5,
470,36,769724,19,19,3,5,
471,32,769724,15,15,3,3,
472,0,769724,3,4,4,6,
473,5,769724,3,4,4,7,
474,28,769724,33,33,3,4,
475,1,769724,3,4,4,5,
476,7,769724,13,13,3,7,
477,19,769724,31,31,3,4,
478,9,769724,3,4,4,6,
479,22,769724,3,4,4,4,
480,10,769724,3,4,4,7,
481,75,769724,31,31,3,2,
482,61,769724,29,29,3,3,
483,39,769724,17,17,3,5,
484,90,769724,3,4,4,3,
485,43,769724,25,25,3,6,
486,32,769724,13,13,3,7,
487,26,769724,3,4,4,7,
488,48,769724,3,4,4,7,
489,73,769724,33,33,3,6,
490,28,769724,3,4,4,8,
491,51,769724,3,4,4,6,
492,1,769724,3,4,4,8,
493,3,769724,3,4,4,8,
494,2,769724,3,4,4,7,
495,1,769724,3,4,4,7,
496,15,769724,3,4,4,6,
497,0,769724,3,4,4,7,
498,55,769724,27,27,3,4,
499,88,769724,33,33,3,2,
500,88,769724,29,29,3,2,
501,58,769724,17,17,3,1,
502,11,769724,3,4,4,1,
503,15,769724,3,4,4,1,
504,4,769724,3,4,4,3,
505,14,769724,3,4,4,1,
506,10,769724,3,4,4,3,
507,6,769724,3,4,4,4,
508,1,769724,3,4,4,5,
509,96,769724,27,27,3,2,
510,99,769724,31,31,3,1,
511,95,769724,33,33,3,3,
512,98,769724,29,29,3,2,
513,106,769724,25,25,3,2,
514,95,769724,3,4,4,4,
515,21,769724,3,4,4,7,
516,19,769724,3,4,4,7,
517,11,769724,3,4,4,7,
518,70,769724,23,23,3,8,
519,36,769724,3,4,4,8,
520,57,769724,23,23,3,8,
521,61,769724,19,19,3,7,
522,17,769724,3,4,4,8,
523,1,769724,3,4,4,0,
524,15,769724,13,13,3,3,
525,16,769724,19,19,3,4,
526,9,769724,21,21,3,5,
527,71,769724,29,29,3,2,
528,16,769724,13,13,3,5,
529,51,769724,3,4,4,4,
530,68,769724,27,27,3,4,
531,6,769724,3,4,4,7,
532,105,769724,3,4,4,4,
533,53,769724,23,23,3,6,
534,1,769724,3,4,4,8,
535,1,769724,3,4,4,6,
536,3,769724,3,4,4,5,
537,45,769724,3,4,4,2,
538,36,769724,3,4,4,1,
539,1,769724,3,4,4,0,
540,0,769724,3,4,4,1,
541,23,769724,17,17,3,3,
542,43,769724,21,22,3,0,
543,43,769724,29,29,3,1,
544,41,769724,23,23,3,2,
545,32,769724,21,21,3,4,
546,39,769724,31,31,3,3,
547,31,769724,13,13,3,6,
548,22,769724,17,17,3,7,
549,20,769724,17,17,3,8,
550,34,769724,19,19,3,6,
551,5,769725,3,4,4,1,
552,11,769725,17,17,3,1,
553,3,769725,3,4,4,1,
554,27,769725,17,17,3,5,
555,32,769725,33,33,3,5,
556,27,769725,31,31,3,5,
557,17,769725,19,19,3,6,
558,23,769725,3,4,4,6,
559,19,769725,23,23,3,6,
560,16,769725,25,25,3,7,
561,16,769725,19,19,3,7,
562,16,769725,3,4,4,8,
563,15,769725,15,15,3,9,
564,6,769725,3,4,4,9,
565,19,769725,21,21,3,7,
566,9,769725,3,4,4,8,
567,17,769725,23,23,3,8,
568,20,769725,3,4,4,9,
569,24,769725,33,33,3,8,
570,30,769725,33,33,3,8,
571,9,769725,17,17,3,8,
572,27,769725,33,33,3,7,
573,37,769725,31,31,3,6,
574,27,769725,27,27,3,6,
575,25,769725,23,23,3,7,
576,12,769725,3,4,4,8,
577,20,769725,23,23,3,6,
578,17,769725,17,17,3,9,
579,11,769725,15,15,3,8,
580,1,769725,3,4,4,8,
581,2,769725,3,4,4,9,
582,1,769725,3,4,4,8,
583,2,769725,3,4,4,7,
584,2,769725,3,4,4,5,
585,5,769725,3,4,4,5,
586,11,769725,25,25,3,3,
587,11,769725,27,27,3,3,
588,1,769725,3,4,4,7,
589,2,769725,3,4,4,7,
590,10,769725,19,19,3,6,
591,13,769725,3,4,4,6,
592,25,769725,31,31,3,5,
593,1,769725,3,4,4,2,
594,20,769725,25,25,3,5,
595,19,769725,21,21,3,6,
596,3,769725,3,4,4,5,
597,1,769725,3,4,4,6,
598,4,769725,3,4,4,7,
599,1,769725,3,4,4,6,
600,20,769725,19,19,3,6,
601,20,769725,27,27,3,6,
602,29,769725,19,19,3,7,
603,11,769725,15,15,3,8,
604,19,769725,3,4,4,6,
605,26,769725,19,19,3,9,
606,7,769725,3,4,4,8,
607,15,769725,27,27,3,8,
608,16,769725,3,4,4,9,
609,1,769725,3,4,4,4,
610,20,769725,29,29,3,7,
611,12,769725,17,17,3,7,
612,12,769725,21,21,3,7,
613,19,769725,3,4,4,7,
614,12,769725,3,4,4,7,
615,13,769725,23,23,3,7,
616,8,769725,3,4,4,6,
617,17,769725,25,25,3,8,
618,20,769725,13,13,3,8,
619,15,769725,3,4,4,8,
620,8,769725,15,15,3,7,
621,24,769725,29,29,3,7,
622,24,769725,3,4,4,7,
623,9,769725,3,4,4,8,
624,34,769725,31,31,3,8,
625,1,769725,3,4,4,8,
626,25,769725,33,33,3,8,
627,13,769725,15,15,3,8,
628,2,769725,3,4,4,8,
629,2,769725,3,4,4,6,
630,1,769725,3,4,4,7,
631,17,769725,25,25,3,7,
632,13,769725,19,19,3,7,
633,1,769725,3,4,4,8,
634,16,769725,17,17,3,8,
635,16,769725,3,4,4,8,
636,12,769725,17,17,3,8,
637,10,769725,3,4,4,9,
638,1,769725,3,4,4,8,
639,21,769725,29,29,3,5,
640,11,769725,3,4,4,7,
641,21,769725,3,4,4,4,
642,16,769725,23,23,3,7,
643,0,769725,3,4,4,7,
644,14,769725,3,4,4,5,
645,10,769725,13,13,3,7,
646,16,769725,29,29,3,5,
647,3,769725,3,4,4,9,
648,15,769725,29,29,3,5,
649,2,769725,3,4,4,1,
650,47,769725,31,31,3,4,
651,8,769725,27,27,3,2,
652,17,769725,17,17,3,4,
653,1,769725,3,4,4,3,
654,13,769725,3,4,4,4,
655,2,769725,3,4,4,3,
656,34,769725,15,15,3,5,
657,45,769725,15,15,3,6,
658,2,769725,3,4,4,5,
659,0,769725,3,4,4,6,
660,50,769725,21,21,3,7,
661,1,769725,3,4,4,5,
662,57,769725,23,23,3,6,
663,31,769725,19,19,3,6,
664,38,769725,27,27,3,7,
665,25,769725,23,23,3,7,
666,37,769725,25,25,3,7,
667,36,769725,21,21,3,8,
668,47,769725,23,23,3,6,
669,23,769725,3,4,4,7,
670,9,769725,13,13,3,8,
671,32,769725,15,15,3,9,
672,31,769725,21,21,3,8,
673,13,769725,3,4,4,8,
674,20,769725,3,4,4,8,
675,34,769725,27,27,3,7,
676,31,769725,13,13,3,8,
677,20,769725,3,4,4,8,
678,28,769725,21,21,3,5,
679,14,769725,3,4,4,8,
680,49,769725,31,31,3,8,
681,23,769725,3,4,4,6,
682,251,769725,23,23,3,8,
683,13,769725,21,21,3,7,
684,1,769725,3,4,4,5,
685,3,769725,3,4,4,5,
686,161,769725,25,25,3,6,
687,0,769725,3,4,4,6,
688,1,769725,3,4,4,4,
689,1,769725,3,4,4,4,
690,243,769725,33,33,3,2,
691,5,769725,3,4,4,7,
692,6,769725,3,4,4,6,
693,234,769725,3,4,4,7,
694,238,769725,31,31,3,5,
695,17,769725,3,4,4,8,
696,240,769725,3,4,4,4,
697,43,769725,3,4,4,8,
